,time,fo,dataset
0,600.2742263140026,2960.0,pmed9
1,600.5714533560022,2987.0,pmed9
2,600.4227885270011,2985.0,pmed9
3,600.7019219319991,2952.0,pmed9
4,600.4439867380024,2912.0,pmed9
5,600.5514688330004,3000.0,pmed9
6,600.6737025379989,2945.0,pmed9
7,600.8572932060015,2971.0,pmed9
8,600.8309861569978,2926.0,pmed9
9,600.6194215470023,2982.0,pmed9
